communityn,detailaddr,area_id,districtna,zone_numbe,buildyear,carparkcou,buildingar,plotratio,pmfee,developer,greeningra,totalhouse,totalbuild,standard_p,specialpri,residentia,longitude,latitude
湾子街社区,北京市丰台区湾子街社区,6,丰台区,110106,1984, ,24938.64,2,1.5,宣武房地产开发有限公司,20,518,5,82729, ,住宅,116.3178822,39.88522748
恒昌花园,北京市西城区红居东街恒昌花园,4,西城区,110102,1998,320,115957.51,5.36,1,北京坤厚房地产开发股分有限公司,30,794,5,83389, ,住宅,116.3313869,39.88629279
新桥大街61号院,北京市门头沟区新桥大街61号院,9,门头沟区,110109,1996, ,19688.71,1.6,2.5,北京市门头沟区建设开发公司,35,348,4,35078, ,住宅,116.093579,39.93845934
嘉益园,北京市密云区果园西路嘉益园,18,密云区,110118,2013,538,45493.77,1.04,1.9,北京嘉云发房地产开发有限责任公司,30,588,15,24513, ,住宅,116.8221841,40.38411298
小南庄甲26号院,北京市海淀区万泉庄路甲26号小南庄甲26号院,8,海淀区,110108,1995, ,17132.04,2.47,0.6,北京海开房地产集团公司,30,294,3,104339, ,住宅,116.2979503,39.96554741
新桥南大街23号院,北京市门头沟区新桥南大街23号院,9,门头沟区,110109,1994, ,5001,1.3,2,无,26,60,2,37096, ,住宅,116.0997566,39.93048024
新中街住宅小区,北京市东城区工体北路新中街住宅小区,3,东城区,110101,2005,345,56277.51,3,0,无,35,384,10,85030, ,住宅,116.4354028,39.93320733
i立方,北京市大兴区庆祥南路29号i立方,14,大兴区,110115,2012, ,140000,3.5,2.97,北京金隅嘉业房地产开发有限公司,30,2044,9,18878,商住房,高档公寓,116.3257288,39.69389072
广渠路小区,北京市朝阳区广渠路小区,5,朝阳区,110105,2000,50,30779.05,2,0.5,无,30,473,3,58410, ,住宅,116.4577911,39.89138335
霍营小区,北京市昌平区霍营东路霍营小区,13,昌平区,110114,1996, ,116265.81,2.3,0.5,北京四方房地产开发公司,30,866,10,60239, ,住宅,116.3671965,40.07790392
紫竹庵胡同39号,北京市通州区紫竹庵胡同39号,11,通州区,110112, , ,5827.72,2,0,无, ,90,1,42428, ,住宅,116.6633946,39.90436086
开阳里三区,北京市丰台区右安门外大街开阳里三区,6,丰台区,110106,1984,285,138310.79,2,0.52,北京城市开发集团有限责任公司,30,2166,17,66289, ,住宅,116.3604033,39.8628797
自然佳境,北京市通州区潞邑西路6号自然佳境,11,通州区,110112,2000,150,74146.81,1.75,0.6,北京市民望房地产开发公司,40,694,10,39651, ,住宅,116.6866284,39.93486517
青年工社,北京市朝阳区朝阳北路青年工社,5,朝阳区,110105,2010, ,320000,2.5,3,新松房地产开发有限公司,30,768,2,55860,其他,高档公寓,116.5095835,39.92123625
凯德锦绣,北京市朝阳区朝阳路凯德锦绣,5,朝阳区,110105,2011,700,100152.4,3.17,4.8,凯德中国,31,1076,4,89464, ,住宅,116.4861377,39.91669309
润泽公馆,北京市朝阳区水岸南街100号润泽公馆,5,朝阳区,110105,2013,873,282718.93,2.89,3.46,北京润泽庄苑房地产开发有限公司,32.5,2170,13,80443, ,住宅,116.4318671,40.05188383
怡然世家小区,北京市通州区怡乐南街怡然世家小区,11,通州区,110112,2005, ,142000,2.7,1.85,津华同达开发公司,30,2388,5,27745,经济适用房,住宅,116.6279053,39.8786973
吴家村10号院,北京市海淀区莲花池西路吴家村10号院,8,海淀区,110108,1998,400,52154.75,2.5,0.5,北京京铁房地产开发公司,30,474,7,66155, ,住宅,116.2915622,39.88674203
果园北区5号院,北京市通州区新华南路果园北区5号院,11,通州区,110112, , ,8510.89,2,0.6,北京新建房地产开发有限公司, ,90,1,43400, ,住宅,116.6496267,39.89378122
